VARIABLE NAME,VARIABLE DESCRIPTION,UNIT
SITE_ID,Six character site identifier. MANDATORY if site is already registered,CC-Sss
SPP_O,Overstory species (taxa),Scientific name
SPP_O_VEGTYPE,Overstory vegetation type,LIST(VEGTYPE)
SPP_O_PREVALENCE,Overstory species or vegetation type prevalence at site,LIST(PREVALENCE)
SPP_O_PERC,"Overstory species or vegetation type percent cover (by mass, number, estimated abundance, or area)",%
SPP_O_PERC_STATISTIC,Overstory species or vegetation type percent cover statistic,LIST(STATISTIC)
SPP_O_PERC_STATISTIC_METHOD,Overstory species or vegetation type percent cover statistic method,LIST(STATISTIC_METHOD)
SPP_O_PERC_STATISTIC_NUMBER,Number of observations used to determine overstory species or vegetation type percent cover statistic,integer number
SPP_U,Understory species (taxa),Scientific name
SPP_U_VEGTYPE,Understory vegetation type,LIST(VEGTYPE)
SPP_U_PREVALENCE,Understory species or vegetation type prevalence at site,LIST(PREVALENCE)
SPP_U_PERC,"Understory species or vegetation type percent cover (by mass, number, estimated abundance, or area)",%
SPP_U_PERC_STATISTIC,Understory species or vegetation type percent cover statistic,LIST(STATISTIC)
SPP_U_PERC_STATISTIC_METHOD,Understory species or vegetation type percent cover statistic method,LIST(STATISTIC_METHOD)
SPP_U_PERC_STATISTIC_NUMBER,Number of observations used to determine understory species or vegetation type percent cover statistic,integer number
SPP_PERC_UNIT,Unit of the species or vegetation type percent cover measurement,LIST(UNIT_SPP)
SPP_APPROACH,Species or vegetation type percent cover measurement approach,free text
SPP_DATE,Species or vegetation type percent cover measurement date,YYYYMMDDHHMM
SPP_DATE_START,Start date of species or vegetation type percent cover measurement,YYYYMMDDHHMM
SPP_DATE_END,End date of species or vegetation type percent cover measurement,YYYYMMDDHHMM
SPP_DATE_UNC,"Uncertainty in the species or vegetation type percent cover measurement date, start date, and/or end date",days
SPP_COMMENT,Species or vegetation type percent cover measurement comments,free text
LAI,"Vegetation (Plant, Leaf, Green) Area Index",m2 m-2
LAI_TYPE,"Vegetation (Plant, Leaf, Green) Area Index type",LIST(LAI_TYPE)
LAI_CANOPY_TYPE,"Vegetation (Plant, Leaf, Green) Area Index canopy type",LIST(LAI_CANOPY_TYPE)
LAI_SPP,"Vegetation (Plant, Leaf, Green) Area Index species (taxa)",Scientific name
LAI_VEGTYPE,"Vegetation (Plant, Leaf, Green) Area Index vegetation type",LIST(VEGTYPE)
LAI_STATISTIC,"Vegetation (Plant, Leaf, Green) Area Index statistic",LIST(STATISTIC)
LAI_STATISTIC_METHOD,"Vegetation (Plant, Leaf, Green) Area Index statistic method",LIST(STATISTIC_METHOD)
LAI_STATISTIC_NUMBER,"Number of observations used to determine Vegetation (Plant, Leaf, Green) Area Index statistic",integer number
LAI_CLUMP,"Foliage element clumping index for Vegetation (Plant, Leaf, Green) Area Index measurement",decimal number
LAI_METHOD,"Vegetation (Plant, Leaf, Green) Area Index methodology",LIST(LAI_METHOD)
LAI_APPROACH,"Vegetation (Plant, Leaf, Green) Area Index measurement approach",free text
LAI_DATE,"Vegetation (Plant, Leaf, Green) Area Index measurement date",YYYYMMDDHHMM
LAI_DATE_START,"Start date of Vegetation (Plant, Leaf, Green) Area Index measurement",YYYYMMDDHHMM
LAI_DATE_END,"End date of Vegetation (Plant, Leaf, Green) Area Index measurement",YYYYMMDDHHMM
LAI_DATE_UNC,"Uncertainty in the Vegetation (Plant, Leaf, Green) Area Index measurement date, start date, and/or end date",days
LAI_COMMENT,"Vegetation (Plant, Leaf, Green) Area Index comments",free text
BIOMASS,Biomass,units specified in BIOMASS_UNIT
BIOMASS_UNIT,Measurement unit of Biomass ,LIST(UNIT_BIOMASS)
BIOMASS_SPP,Biomass species (taxa),Scientific name
BIOMASS_VEGTYPE,Biomass vegetation type,LIST(VEGTYPE)
BIOMASS_STATISTIC,Biomass statistic,LIST(STATISTIC)
BIOMASS_STATISTIC_METHOD,Biomass statistic methoD,LIST(STATISTIC_METHOD)
BIOMASS_STATISTIC_NUMBER,Number of observations used to determine Biomass statistics,integer number
BIOMASS_ORGAN,Organ or component for which biomass is reported,LIST(BIOM_ORGAN)
BIOMASS_PHEN,Phenology of the organ for which biomass is reported,LIST(BIOM_ORGAN_PHEN)
BIOMASS_LIFESTAGE,Biomass of this life stage,LIST(LIFESTAGE)
BIOMASS_VEG_STATUS,Biomass of this vegetation status,LIST(VEG_STATUS)
BIOMASS_APPROACH,Biomass approach,free text
BIOMASS_DATE,Biomass measurement date,YYYYMMDDHHMM
BIOMASS_DATE_START,Start date of Biomass measurement,YYYYMMDDHHMM
BIOMASS_DATE_END,End date of Biomass measurement,YYYYMMDDHHMM
BIOMASS_DATE_UNC,"Uncertainty in the Biomass measurement date, start date, and/or end date",days
BIOMASS_COMMENT,Biomass comments,free text
HEIGHTC,Canopy height,m
HEIGHTC_SPP,Canopy height species (taxa),Scientific name
HEIGHTC_VEGTYPE,Canopy height vegetation type,LIST(VEGTYPE)
HEIGHTC_STATISTIC,Canopy height statistic,LIST(STATISTIC)
HEIGHTC_STATISTIC_METHOD,Canopy height statistic method,LIST(STATISTIC_METHOD)
HEIGHTC_STATISTIC_NUMBER,Number of observations used to determine canopy height statistic,integer number
HEIGHTC_U,Understory canopy height,m
HEIGHTC_U_SPP,Understory canopy height species (taxa),Scientific name
HEIGHTC_U_VEGTYPE,Understory canopy height vegetation type,LIST(VEGTYPE)
HEIGHTC_U_STATISTIC,Understory canopy height statistic,LIST(STATISTIC)
